Supplier,VAT Exclusive,VAT,Zimasa VAT Inclusive,Date
Shaka Tours & Safaris (Sts),,246.52,1890.0,2023-10-01
Southern Sun,,630.0,4830.0,2023-10-01
Southern Sun,,2382.71,18267.4,2023-10-01
Southern Sun,,2890.73,22162.28,2023-10-01
Southern Sun,,1042.57,7993.0,2023-10-01
Southern Sun,,2310.0,17710.0,2023-10-01
Southern Sun,,420.0,3220.0,2023-10-01
Stayeasy Rustenburg (Str),,3123.13,23944.08,2023-10-01
Stonehenge River Lodge (Sth),,148.7,1140.01,2023-10-01
Sun City,,840.0,6440.0,2023-10-01
The Royal Marang Hotel (Trm),,12923.21,99078.0,2023-10-01
Thee Gesthouse (Tgh),,978.26,7500.0,2023-10-01
Tlmz Guest House (Tmz),,1152.0,8832.0,2023-10-01
Tshenolo Guest House (Tgg),,1800.0,13800.0,2023-10-01
Villa Rosa Bed And Breakfast (Vrb),,339.13,2600.0,2023-10-01
Zanami Lodge (Zap),,9078.26,69600.0,2023-10-01
196 On Victoria Bed & Breakfast (Vbb),,247.83,1900.0,2023-11-01
Airlink Airline (820),,930.0,7130.0,2023-11-01
Anew Hotel,,511.83,3924.09,2023-11-01
Anew Resort,,2582.61,19800.0,2023-11-01
Be@Home,,450.0,3450.0,2023-11-01
Bophirima Boutique Hotel (Bbh),,2347.81,18000.0,2023-11-01
Cashan Bnb (Cbb),,339.13,2600.0,2023-11-01
Chrome Valley Lodge (Cvl),,171.52,1315.0,2023-11-01
City Lodge Hotel,,1455.65,11160.0,2023-11-01
City Lodge Hotel,,6462.19,49543.5,2023-11-01
City Lodge Hotel,,2132.74,16351.0,2023-11-01
City Lodge Sandton (Cls),,1972.17,15120.0,2023-11-01
Cu Guest House (Cug),,5885.22,45120.0,2023-11-01
Elrose Guest House (Elr),,567.39,4350.0,2023-11-01
Excalibur Boutique Hotel Conference & Wedding Venu (Ebh),,237.72,1822.5,2023-11-01
Fly Safair (640),,2746.96,21060.02,2023-11-01
Garden Court,,420.0,3220.0,2023-11-01
Hertz King Shaka Durban (Hks),,1688.87,12948.0,2023-11-01
Hertz Or Tambo Or Tambo (Htz),,2752.17,21100.0,2023-11-01
Hertz Rent A Car  Mahikeng Mahikeng (Hrm),,601.7,4613.0,2023-11-01
Hertz Rent A Car - Cape Town International Airport (Hrc),,678.26,5200.0,2023-11-01
Inn Green Hotel (Igh),,256.96,1970.0,2023-11-01
"Kedar Heritage Lodge, Conference Centre & Spa (Khl)",,779.35,5975.0,2023-11-01
Kovsie Inn (Ksv),,123.91,950.0,2023-11-01
Kriel Bed & Breakfast (Krl),,450.0,3450.0,2023-11-01
Lala @ Night Guesthouse (Lng),,215.22,1650.0,2023-11-01
Lily Park Lodge (Lpl),,3521.7,27000.0,2023-11-01
Little Tuscany Boutique Hotel (Ltb),,988.7,7580.0,2023-11-01
Masego Guest House (Mgh),,847.83,6500.0,2023-11-01
Motheo Exquisite Guesthouse (Meg),,215.22,1650.0,2023-11-01
Orion Safari,,313.04,2400.0,2023-11-01
Protea By Marriott,,2244.39,17207.0,2023-11-01
Rio Hotel Casino Resort (Rhc),,2814.78,21580.0,2023-11-01
